seed,task_type,host_count,shrink,algo,active,migr,time
3,-4,20,False,PyVPSolver + migopt,0.5,0.581081081081081,0.46576881408691406
4,-4,20,False,Initial,1.0,0.0,1.6689300537109375e-06
4,-4,20,False,Initial + migopt,1.0,0.0,0.05022144317626953
4,-4,20,False,FirstFitDecreasing,0.5,0.9945945945945946,0.0027353763580322266
4,-4,20,False,FirstFitDecreasing + migopt,0.5,0.672972972972973,0.038077592849731445
4,-4,20,False,Sercon,0.55,0.24054054054054055,0.006360054016113281
4,-4,20,False,Sercon + migopt,0.55,0.24054054054054055,0.059459686279296875
4,-4,20,False,PyVPSolver,0.5,0.9486486486486486,0.3797922134399414
4,-4,20,False,PyVPSolver + migopt,0.5,0.581081081081081,0.42206788063049316
0,-4,40,False,Initial,0.95,0.0,7.152557373046875e-07
0,-4,40,False,Initial + migopt,0.95,0.0,0.1808321475982666
0,-4,40,False,FirstFitDecreasing,0.5,0.9743243243243244,0.011540412902832031
0,-4,40,False,FirstFitDecreasing + migopt,0.5,0.8,0.20000648498535156
0,-4,40,False,Sercon,0.55,0.20540540540540542,0.01874256134033203
0,-4,40,False,Sercon + migopt,0.55,0.20540540540540542,0.18192625045776367
0,-4,40,False,PyVPSolver,0.5,0.9878378378378379,0.5403397083282471
0,-4,40,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.5290093421936035
1,-4,40,False,Initial,0.95,0.0,1.1920928955078125e-06
1,-4,40,False,Initial + migopt,0.95,0.0,0.2417774200439453
1,-4,40,False,FirstFitDecreasing,0.5,0.9743243243243244,0.007729053497314453
1,-4,40,False,FirstFitDecreasing + migopt,0.5,0.8,0.22304749488830566
1,-4,40,False,Sercon,0.55,0.20540540540540542,0.01763129234313965
1,-4,40,False,Sercon + migopt,0.55,0.20540540540540542,0.24905681610107422
1,-4,40,False,PyVPSolver,0.5,0.9878378378378379,0.40487074851989746
1,-4,40,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.5073666572570801
2,-4,40,False,Initial,0.95,0.0,1.430511474609375e-06
2,-4,40,False,Initial + migopt,0.95,0.0,0.2506103515625
2,-4,40,False,FirstFitDecreasing,0.5,0.9743243243243244,0.004508256912231445
2,-4,40,False,FirstFitDecreasing + migopt,0.5,0.8,0.10366177558898926
2,-4,40,False,Sercon,0.55,0.20540540540540542,0.01842331886291504
2,-4,40,False,Sercon + migopt,0.55,0.20540540540540542,0.14184117317199707
2,-4,40,False,PyVPSolver,0.5,0.9878378378378379,0.3766303062438965
2,-4,40,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.572786808013916
3,-4,40,False,Initial,0.95,0.0,1.1920928955078125e-06
3,-4,40,False,Initial + migopt,0.95,0.0,0.1532285213470459
3,-4,40,False,FirstFitDecreasing,0.5,0.9743243243243244,0.005517721176147461
3,-4,40,False,FirstFitDecreasing + migopt,0.5,0.8,0.17898917198181152
3,-4,40,False,Sercon,0.55,0.20540540540540542,0.011667251586914062
3,-4,40,False,Sercon + migopt,0.55,0.20540540540540542,0.21734881401062012
3,-4,40,False,PyVPSolver,0.5,0.9878378378378379,0.4802513122558594
3,-4,40,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.5157699584960938
4,-4,40,False,Initial,0.95,0.0,1.430511474609375e-06
4,-4,40,False,Initial + migopt,0.95,0.0,0.1723015308380127
4,-4,40,False,FirstFitDecreasing,0.5,0.9743243243243244,0.0046803951263427734
4,-4,40,False,FirstFitDecreasing + migopt,0.5,0.8,0.3042449951171875
4,-4,40,False,Sercon,0.55,0.20540540540540542,0.010549783706665039
4,-4,40,False,Sercon + migopt,0.55,0.20540540540540542,0.14106225967407227
4,-4,40,False,PyVPSolver,0.5,0.9878378378378379,0.513596773147583
4,-4,40,False,PyVPSolver + migopt,0.5,0.6756756756756757,0.4864192008972168
0,-4,80,False,Initial,1.0,0.0,1.430511474609375e-06
0,-4,80,False,Initial + migopt,1.0,0.0,0.8158156871795654
0,-4,80,False,FirstFitDecreasing,0.5,0.9878378378378379,0.011284112930297852
0,-4,80,False,FirstFitDecreasing + migopt,0.5,0.7587837837837837,0.6585490703582764
0,-4,80,False,Sercon,0.5125,0.22432432432432434,0.027510643005371094
0,-4,80,False,Sercon + migopt,0.5125,0.22432432432432434,0.4635133743286133
